Gene,adj.P.Val,P.Value,t,B,logFC,GB_ACC,SPOT_ID
NFKBIA,0.8858,0.5026,-0.672811,-4.9476,-0.101835,NM_020529.1,
HLA-DRB3,0.8858,0.5041003,-0.670445,-4.9486,-0.184371,NM_022555.3,
ITGA6,0.8858,0.504104,-0.670439,-4.9486,-0.169143,NM_000210.1,
TAP1,0.8858,0.5052485,-0.668637,-4.9493,-0.13011,NM_000593.5,
ITGAL,0.8858,0.5073584,0.66532,-4.9507,0.214496,NM_002209.2,
LGALS3,0.8858,0.5074727,-0.66514,-4.9508,-0.115834,NM_001177388.1,
IL22,0.8858,0.5088667,-0.662953,-4.9517,-0.185913,NM_020525.4,
FOXP3,0.8858,0.5098468,0.661417,-4.9524,0.159638,NM_014009.3,
ROPN1,0.8858,0.5115261,0.65879,-4.9535,0.144742,NM_017578.2,
TOLLIP,0.8858,0.5123599,-0.657486,-4.954,-0.080918,NM_019009.2,
STAT3,0.8858,0.5125357,0.657212,-4.9541,0.081151,NM_139276.2,
COLEC12,0.8858,0.5144736,-0.654188,-4.9554,-0.254439,NM_130386.2,
ULBP2,0.8858,0.5148881,-0.653542,-4.9556,-0.23866,NM_025217.2,
HLA-DPA1,0.8858,0.5178842,0.648881,-4.9576,0.194326,NM_033554.2,
CCL25,0.8858,0.5181523,-0.648465,-4.9577,-0.208762,NM_005624.2,NA
CXCR3,0.8858,0.5202628,0.645191,-4.9591,0.258378,NM_001504.1,
CD70,0.8858,0.5215024,0.643271,-4.9598,0.310008,NM_001252.2,
CD80,0.8858,0.5218948,-0.642664,-4.9601,-0.193818,NM_005191.3,
GPI,0.8858,0.5277937,-0.633564,-4.9638,-0.095482,NM_000175.2,
LYN,0.8858,0.5280182,0.633219,-4.9639,0.175586,NM_002350.1,
IL1R2,0.8858,0.5283536,0.632703,-4.9641,0.259344,NM_173343.1,
C1QB,0.8858,0.5296497,0.630712,-4.9649,0.183452,NM_000491.3,NA
TLR4,0.8858,0.5299451,0.630259,-4.9651,0.161753,NM_138554.2,
PIK3CD,0.8858,0.5310939,-0.628496,-4.9658,-0.13986,NM_005026.3,
PLA2G6,0.8858,0.5344423,-0.623371,-4.9678,-0.107335,NM_001004426.1,
SELL,0.8858,0.5345713,0.623174,-4.9679,0.241579,NR_029467.1,
PAX5,0.8858,0.5349066,0.622662,-4.9681,0.273085,NM_016734.1,
ICAM4,0.8858,0.53544,0.621847,-4.9684,0.273132,NM_001039132.1,
IL2RA,0.8858,0.5357504,-0.621373,-4.9686,-0.147025,NM_000417.1,
A2M,0.8858,0.5361609,0.620747,-4.9688,0.139569,NM_000014.4,NA
CD163,0.8858,0.5362376,0.62063,-4.9689,0.158853,NM_004244.4,
TLR8,0.8858,0.5374814,0.618733,-4.9696,0.186684,NM_016610.2,
TNFRSF8,0.8858,0.5383439,-0.61742,-4.9701,-0.238655,NM_152942.2,
IRAK2,0.8858,0.5384412,-0.617271,-4.9702,-0.142593,NM_001570.3,
IL17RA,0.8858,0.5394397,0.615752,-4.9708,0.078748,NM_014339.6,
STAT1,0.8858,0.5401219,-0.614715,-4.9712,-0.139519,NM_007315.2,
CXCL5,0.8858,0.5412244,-0.61304,-4.9718,-0.353294,NM_002994.3,
RIPK2,0.8872,0.5432098,-0.610028,-4.973,-0.110383,NM_003821.5,
CEACAM6,0.8908,0.5464954,-0.605056,-4.9749,-0.242132,NM_002483.4,
FOS,0.8932,0.549134,-0.601074,-4.9764,-0.244056,NM_005252.2,
CYBB,0.8955,0.5517176,0.597184,-4.9779,0.191195,NM_000397.3,
IFITM2,0.8977,0.554222,-0.593422,-4.9793,-0.118962,NM_006435.2,
MFGE8,0.8994,0.56238,-0.581225,-4.9838,-0.091764,NM_001114614.1,
ICOSLG,0.8994,0.5625147,0.581025,-4.9839,0.139986,NM_015259.4,
DDX50,0.8994,0.5647313,-0.577726,-4.9851,-0.050804,NM_024045.1,
MAP4K2,0.8994,0.5662439,0.575479,-4.986,0.078299,NM_004579.2,
CREBBP,0.8994,0.5684087,-0.572268,-4.9871,-0.125808,NM_004380.2,
CCL23,0.8994,0.5711399,0.568225,-4.9886,0.139346,NM_145898.1,NA
IL32,0.8994,0.5719093,-0.567088,-4.989,-0.113262,NM_001012633.1,
TNF,0.8994,0.5727285,-0.565878,-4.9894,-0.155132,NM_000594.2,
ITGA1,0.8994,0.5737101,0.564429,-4.9899,0.098428,NM_181501.1,
ZAP70,0.8994,0.5748765,0.562709,-4.9905,0.201794,NM_001079.3,
IKBKG,0.8994,0.5755966,-0.561648,-4.9909,-0.066998,NM_003639.2,
SDHA,0.8994,0.5756979,0.561499,-4.991,0.05692,NM_004168.1,
HLA-DMB,0.8994,0.5759891,0.56107,-4.9911,0.162921,NM_002118.3,
CD19,0.8994,0.5773759,0.559029,-4.9919,0.258397,NM_001770.4,
SELPLG,0.8994,0.5814933,0.552984,-4.994,0.138157,NM_001206609.1,
ATG12,0.8994,0.5819378,0.552332,-4.9942,0.156896,NM_004707.2,NA
BCL2,0.8994,0.5829662,0.550826,-4.9947,0.19654,NM_000657.2,NA
CD37,0.8994,0.5836886,0.549768,-4.9951,0.242126,NM_001774.2,
IL5,0.8994,0.5857437,0.546764,-4.9961,0.092335,NM_000879.2,
ARG2,0.8994,0.5883845,0.54291,-4.9975,0.186833,NM_001172.3,NA
TLK2,0.8994,0.5884114,0.542871,-4.9975,0.053128,NM_006852.2,
MST1R,0.8994,0.5908082,-0.539381,-4.9987,-0.126344,NM_002447.1,
CLEC5A,0.8994,0.5911126,-0.538938,-4.9988,-0.194373,NM_013252.2,
CCND3,0.8994,0.5917701,-0.537982,-4.9992,-0.088736,NM_001760.2,NA
IRAK4,0.8994,0.5924478,-0.536997,-4.9995,-0.084582,NM_016123.1,
PSMB8,0.8994,0.5931449,-0.535984,-4.9998,-0.077652,NM_004159.4,
IL13RA1,0.8994,0.5973053,-0.529952,-5.0019,-0.080913,NM_001560.2,
NFATC3,0.8994,0.5973475,0.529891,-5.0019,0.071665,NM_004555.2,
IFNA1,0.8994,0.5975339,0.529621,-5.002,0.086843,NM_024013.1,
LTB,0.8994,0.5996413,-0.526573,-5.003,-0.191362,NM_002341.1,
CD59,0.8994,0.6006899,-0.525059,-5.0035,-0.084656,NM_000611.4,
CD79A,0.8994,0.6021069,0.523014,-5.0042,0.271299,NM_001783.3,
OSM,0.8994,0.6022317,-0.522834,-5.0042,-0.203489,NM_020530.4,
SSX1,0.8994,0.6026356,0.522252,-5.0044,0.092372,NM_005635.2,
C7,0.8994,0.6027651,0.522065,-5.0045,0.297957,NM_000587.2,NA
SSX4,0.8994,0.6035736,0.5209,-5.0049,0.098216,NM_005636.3,
MS4A2,0.8994,0.6037709,0.520616,-5.005,0.192561,NM_000139.3,
NEG_G,0.8994,0.6054921,0.518138,-5.0058,0.049012,,ERCC_00144.1
CD1C,0.8994,0.6056516,0.517909,-5.0059,0.166588,NM_001765.2,
CD48,0.8994,0.6059168,0.517527,-5.006,0.191487,NM_001778.2,
PIN1,0.8994,0.6062642,-0.517028,-5.0062,-0.062726,NM_006221.2,
MAGEA12,0.8994,0.6071235,-0.515793,-5.0066,-0.153308,NM_001166386.1,
SMAD3,0.8994,0.6073042,-0.515533,-5.0066,-0.086759,NM_005902.3,
STAT5B,0.8994,0.6078156,0.514799,-5.0069,0.073417,NM_012448.3,
VCAM1,0.8994,0.6080097,0.51452,-5.007,0.262987,NM_001078.3,
CCL3L1,0.8994,0.6080248,-0.514498,-5.007,-0.189559,NM_021006.4,NA
CD47,0.9003,0.6099,0.511808,-5.0079,0.082875,NM_001777.3,
DUSP6,0.9003,0.6113058,-0.509793,-5.0085,-0.104611,NM_001946.2,
BID,0.9003,0.6131703,0.507124,-5.0094,0.146781,NM_001196.2,NA
HLA-DRB4,0.9003,0.6157308,0.503465,-5.0105,0.424944,NM_021983.4,
S100A7,0.9003,0.6165205,-0.502338,-5.0109,-0.328736,NM_002963.2,
ELANE,0.9003,0.6167125,0.502064,-5.011,0.119738,NM_001972.2,
TXK,0.9003,0.6181354,0.500035,-5.0116,0.165236,NM_003328.1,
IL17F,0.9003,0.6185264,0.499478,-5.0118,0.128368,NM_052872.3,
CCL26,0.9003,0.6189376,-0.498892,-5.012,-0.218618,NM_006072.4,NA
TAPBP,0.9135,0.6291649,0.484376,-5.0165,0.078377,NM_003190.4,
EP300,0.9143,0.6308808,-0.481951,-5.0172,-0.043666,NM_001429.2,
MICA,0.9143,0.6347625,-0.476475,-5.0189,-0.084489,NM_000247.1,
HAVCR2 (TIM3),0.9143,0.634997,0.476145,-5.019,0.152717,NM_032782.3,
STAT4,0.9143,0.640725,-0.468092,-5.0214,-0.139197,NM_003151.2,
LILRB2,0.9143,0.6429331,0.464995,-5.0223,0.12931,NM_005874.1,
RPS6,0.9143,0.6439612,-0.463555,-5.0228,-0.056307,NM_001010.2,
ZNF346,0.9143,0.6442876,0.463098,-5.0229,0.076455,NM_012279.2,
TCF7,0.9143,0.6444824,-0.462826,-5.023,-0.131576,NM_003202.2,
IL1RL2,0.9143,0.6486721,0.456969,-5.0247,0.151887,NM_003854.2,
CCL24,0.9143,0.6497716,0.455435,-5.0251,0.161794,NM_002991.2,NA
POU2F2,0.9143,0.6509436,-0.4538,-5.0256,-0.117034,NM_002698.2,
IFNL2,0.9143,0.65101,-0.453708,-5.0256,-0.103325,NM_172138.1,
C2,0.9143,0.6516431,0.452825,-5.0259,0.114499,NM_000063.3,NA
DDX43,0.9143,0.6518483,0.45254,-5.0259,0.186854,NM_018665.2,
EGR2,0.9143,0.6519311,0.452424,-5.026,0.154556,NM_000399.3,
ANXA1,0.9143,0.6533574,-0.450438,-5.0265,-0.135225,NM_000700.1,NA
TLR10,0.9143,0.6534127,0.450361,-5.0266,0.194576,NM_030956.2,
IL12RB1,0.9143,0.6547507,0.4485,-5.0271,0.147717,NM_005535.1,
CXCL12,0.9143,0.6548539,-0.448356,-5.0271,-0.237486,NM_000609.5,
IL10,0.9143,0.6550186,-0.448127,-5.0272,-0.14018,NM_000572.2,
IRF8,0.9143,0.6560102,-0.446749,-5.0276,-0.138547,NM_002163.2,
IFNGR1,0.9143,0.6561607,-0.44654,-5.0277,-0.067804,NM_000416.1,
TNFRSF4,0.9143,0.6573937,0.444828,-5.0281,0.114665,NM_003327.2,
RORA,0.9143,0.6577137,-0.444383,-5.0283,-0.078669,NM_134261.2,
CCL15,0.9149,0.6604248,0.440623,-5.0293,0.084569,NM_032965.3,NA
CTSH,0.9149,0.6613143,0.439391,-5.0297,0.102557,NM_004390.3,
PSMB10,0.9149,0.6645344,-0.434936,-5.0309,-0.086686,NM_002801.2,
ATG10,0.9149,0.6657166,-0.433302,-5.0313,-0.084227,NM_001131028.1,NA
PRAME,0.9149,0.6658473,0.433122,-5.0314,0.245055,NM_006115.3,
DOCK9,0.9149,0.6667241,-0.431911,-5.0317,-0.067091,NM_001130048.1,
CSF2RB,0.9149,0.6695003,0.428082,-5.0328,0.116007,NM_000395.2,
TNFRSF11A,0.9149,0.6708957,0.42616,-5.0333,0.143141,NM_003839.2,
TNFSF8,0.9149,0.6711259,0.425843,-5.0334,0.150684,NM_001244.3,
CD7,0.9149,0.6728637,0.423452,-5.034,0.13872,NM_006137.6,
TNFRSF11B,0.9149,0.6729644,0.423313,-5.0341,0.145707,NM_002546.2,
TBX21,0.9149,0.6731854,0.423009,-5.0341,0.148506,NM_013351.1,
CD1D,0.9149,0.6738779,0.422057,-5.0344,0.118488,NM_001766.3,
C4B,0.9149,0.6744957,-0.421208,-5.0346,-0.158625,NM_001002029.3,NA
GNLY,0.9162,0.6766578,0.418239,-5.0354,0.136336,NM_006433.2,
CD58,0.9193,0.6801932,0.413392,-5.0367,0.067758,NM_001779.2,
BATF,0.9193,0.6812825,0.411901,-5.0371,0.112518,NM_006399.3,NA
CSF3R,0.9218,0.68427,-0.407816,-5.0381,-0.118181,NM_156038.2,
MAP3K7,0.9237,0.6915458,0.397894,-5.0407,0.039227,NM_145333.1,
NEG_H,0.9237,0.6965164,0.391139,-5.0424,0.055305,,ERCC_00154.1
CFI,0.9237,0.6977921,0.389408,-5.0428,0.104795,NM_000204.3,
LCK,0.9237,0.6980287,0.389087,-5.0429,0.110697,NM_005356.2,
MEF2C,0.9237,0.6988529,-0.38797,-5.0431,-0.126192,NM_002397.3,
JAK2,0.9237,0.6996616,0.386874,-5.0434,0.087798,NM_004972.2,
APOE,0.9237,0.7012388,0.384737,-5.0439,0.139498,NM_000041.2,NA
TFEB,0.9237,0.7028928,0.382499,-5.0445,0.067031,NM_007162.2,
TPTE,0.9237,0.7031648,0.382131,-5.0446,0.141922,NM_199259.2,
CD207,0.9237,0.7033596,-0.381868,-5.0446,-0.174034,NM_015717.2,
MAP2K2,0.9237,0.7036378,0.381492,-5.0447,0.040802,NM_030662.2,
TXNIP,0.9237,0.7046963,-0.380061,-5.0451,-0.080844,NM_006472.1,
SPANXB1,0.9237,0.7056127,-0.378823,-5.0454,-0.115467,NM_032461.2,
REPS1,0.9237,0.7064199,0.377733,-5.0456,0.046729,NM_001128617.2,
CD3EAP,0.9237,0.7083001,-0.375195,-5.0462,-0.065331,NM_012099.1,
SYK,0.9237,0.708671,0.374695,-5.0464,0.076407,NM_003177.3,
SELE,0.9237,0.7089912,-0.374263,-5.0465,-0.153811,NM_000450.2,
TMEFF2,0.9237,0.7093667,0.373757,-5.0466,0.104301,NM_016192.2,
LY96,0.9237,0.7094231,0.373681,-5.0466,0.147405,NM_015364.2,
PDCD1LG2,0.9237,0.7097457,0.373246,-5.0467,0.1316,NM_025239.3,
RUNX3,0.9237,0.7104399,0.37231,-5.0469,0.07683,NM_004350.1,
HPRT1,0.9239,0.7117642,-0.370526,-5.0473,-0.052003,NM_000194.1,
NOD1,0.9257,0.7157315,-0.36519,-5.0486,-0.048588,NM_006092.1,
PECAM1,0.9257,0.7165093,0.364145,-5.0488,0.073118,NM_000442.3,
CD97,0.9257,0.716731,0.363847,-5.0489,0.068391,NM_078481.2,
CR1,0.9307,0.7239136,0.354216,-5.0511,0.147835,NM_000651.4,
IL2RB,0.9307,0.7246444,0.353238,-5.0513,0.096262,NM_000878.2,
TUBB,0.9307,0.7260183,-0.3514,-5.0517,-0.048788,NM_178014.2,
GTF3C1,0.9307,0.7265863,-0.350641,-5.0519,-0.042968,NM_001520.3,
IL10RA,0.9307,0.7276663,0.349197,-5.0522,0.09572,NM_001558.2,
CD180,0.9307,0.7297985,0.34635,-5.0528,0.145639,NM_005582.2,
PDCD1,0.9307,0.7299592,0.346135,-5.0529,0.130756,NM_005018.1,
MUC1,0.9307,0.7300844,-0.345968,-5.0529,-0.101169,NM_001018017.1,
PVR,0.9328,0.7369594,-0.336807,-5.0549,-0.05303,NM_006505.3,
TNFSF11,0.9328,0.738332,0.334981,-5.0553,0.122458,NM_003701.2,
CNOT10,0.9328,0.7383745,0.334925,-5.0553,0.052219,NM_001256741.1,
IDO1,0.9328,0.7390304,0.334053,-5.0555,0.187666,NM_002164.3,
KIR_Activating_Subgroup_2,0.9328,0.7401817,-0.332523,-5.0558,-0.099782,NM_014512.1,
FCGR2B,0.9328,0.7406137,0.331949,-5.0559,0.090082,NM_001002273.1,
NCF4,0.9328,0.7417949,-0.330381,-5.0563,-0.093889,NM_000631.4,
TNFRSF13C,0.9328,0.7419183,-0.330217,-5.0563,-0.131516,NM_052945.3,
S100A8,0.9328,0.7433433,0.328326,-5.0567,0.138055,NM_002964.3,
CD79B,0.9328,0.7436447,0.327926,-5.0568,0.124918,NM_021602.2,
CD96,0.9348,0.7468024,0.32374,-5.0576,0.088067,NM_005816.4,
